"peak count" "year" "month" "day"
6137 2017 5 30
8356 2017 5 30
8411 2017 5 30
8279 2017 5 30
8460 2017 5 30
5961 2017 5 30
8822 2017 5 30
8501 2017 5 30
6164 2017 5 30
8428 2017 5 31
8739 2017 5 31
6402 2017 5 31
6072 2017 5 31
8492 2017 5 31
8441 2017 5 31
8705 2017 5 31
9021 2017 5 31
8776 2017 5 31
9018 2017 5 31
8213 2017 6 1
8753 2017 6 1
6255 2017 6 1
8306 2017 6 1
8509 2017 6 1
8323 2017 6 1
7039 2017 6 1
8579 2017 6 1
8607 2017 6 1
8640 2017 6 1
7317 2017 6 12
8014 2017 6 12
7318 2017 6 12
7304 2017 6 12
7352 2017 6 12
7658 2017 6 12
8095 2017 6 12
8072 2017 6 12
7895 2017 6 12
7802 2017 6 12
7323 2017 6 13
8043 2017 6 13
7705 2017 6 13
7321 2017 6 13
7754 2017 6 13
7681 2017 6 13
8164 2017 6 13
8168 2017 6 13
7858 2017 6 13
7977 2017 6 13
7540 2017 6 16
6819 2017 6 16
7531 2017 6 16
6941 2017 6 16
7355 2017 6 16
7678 2017 6 16
8211 2017 6 16
7569 2017 6 16
7870 2017 6 16
8053 2017 6 16
6752 2017 6 26
6723 2017 6 26
6845 2017 6 26
6247 2017 6 26
6312 2017 6 26
6357 2017 6 26
6753 2017 6 26
6865 2017 6 26
6788 2017 6 26
6593 2017 6 26
6524 2017 6 28
6479 2017 6 28
6526 2017 6 28
6257 2017 6 28
6316 2017 6 28
6311 2017 6 28
6756 2017 6 28
6681 2017 6 28
6458 2017 6 28
6391 2017 6 28
5520 2017 6 29
4882 2017 6 29
4968 2017 6 29
5232 2017 6 29
4934 2017 6 29
4770 2017 6 29
5966 2017 6 29
6246 2017 6 29
4741 2017 6 29
5048 2017 6 29
6202 2017 6 30
6516 2017 6 30
5202 2017 6 30
5846 2017 6 30
6483 2017 6 30
6421 2017 6 30
6486 2017 6 30
6640 2017 6 30
6419 2017 6 30
6727 2017 6 30
5546 2017 7 10
5767 2017 7 10
5232 2017 7 10
5602 2017 7 10
5405 2017 7 10
5651 2017 7 10
5680 2017 7 10
5618 2017 7 10
5697 2017 7 10
5701 2017 7 10
5454 2017 7 11
5620 2017 7 11
5465 2017 7 11
5180 2017 7 11
5359 2017 7 11
5453 2017 7 11
5545 2017 7 11
5814 2017 7 11
5499 2017 7 11
5644 2017 7 11
5228 2017 7 12
3433 2017 7 12
5286 2017 7 12
5213 2017 7 12
5346 2017 7 12
5403 2017 7 12
5440 2017 7 12
5473 2017 7 12
5315 2017 7 12
5014 2017 7 12
3757 2017 7 13
4588 2017 7 13
4744 2017 7 13
4792 2017 7 13
3869 2017 7 13
4682 2017 7 13
4607 2017 7 13
4803 2017 7 13
4572 2017 7 13
4653 2017 7 13
5313 2017 7 14
5255 2017 7 14
4248 2017 7 14
4924 2017 7 14
4695 2017 7 14
4719 2017 7 14
4201 2017 7 14
5531 2017 7 14
5256 2017 7 14
5563 2017 7 14
9879 2017 7 25
10398 2017 7 25
9940 2017 7 25
9874 2017 7 25
9830 2017 7 25
10307 2017 7 25
10020 2017 7 25
10165 2017 7 25
10234 2017 7 25
10084 2017 7 25
9897 2017 7 26
10137 2017 7 26
10098 2017 7 26
9796 2017 7 26
10097 2017 7 26
10063 2017 7 26
9991 2017 7 26
10186 2017 7 26
9988 2017 7 26
10213 2017 7 26
8733 2017 7 27
8836 2017 7 27
9675 2017 7 27
9773 2017 7 27
9846 2017 7 27
9774 2017 7 27
9715 2017 7 27
9782 2017 7 27
9736 2017 7 27
8659 2017 7 27
8546 2017 10 6
9117 2017 10 6
8653 2017 10 6
8578 2017 10 6
8977 2017 10 6
8893 2017 10 6
8761 2017 10 6
9149 2017 10 6
8981 2017 10 6
9432 2017 10 6
8931 2017 10 7
9134 2017 10 7
9000 2017 10 7
9048 2017 10 7
8970 2017 10 7
9305 2017 10 7
9070 2017 10 7
9313 2017 10 7
9106 2017 10 7
9138 2017 10 7
8711 2017 10 8
8769 2017 10 8
8573 2017 10 8
8553 2017 10 8
8814 2017 10 8
8639 2017 10 8
8916 2017 10 8
8625 2017 10 8
8846 2017 10 8
9027 2017 10 8
8434 2017 10 9
7410 2017 10 9
8532 2017 10 9
8513 2017 10 9
8425 2017 10 9
8210 2017 10 9
7393 2017 10 9
8859 2017 10 9
8748 2017 10 9
7010 2017 10 9
8514 2017 10 0
8610 2017 10 0
8603 2017 10 0
8616 2017 10 0
8279 2017 10 0
8514 2017 10 0
8607 2017 10 0
8535 2017 10 0
7074 2017 10 0
7711 2017 10 0
8347 2019 9 12
7311 2019 9 12
7709 2019 9 12
7596 2019 9 12
7383 2019 9 12
7232 2019 9 12
7183 2019 9 12
7159 2019 9 12
7233 2019 9 12
7484 2019 9 12
10057 2019 9 24
8466 2019 9 24
8516 2019 9 24
8528 2019 9 24
8479 2019 9 24
8488 2019 9 24
9294 2020 2 4
8327 2020 2 4
8139 2020 2 4
8216 2020 2 4
8229 2020 2 4
8084 2020 2 4
8266 2020 2 4
8190 2020 2 4
8350 2020 2 4
7296 2020 2 5
9201 2020 2 5
9350 2020 2 5
8936 2020 2 5
6587 2020 2 5
8733 2020 2 5
8866 2020 2 5
8747 2020 2 5
6524 2020 2 5
5649 2020 2 12
7667 2020 2 12
7239 2020 2 12
7244 2020 2 12
7459 2020 2 12
5160 2020 2 12
7435 2020 2 12
7515 2020 2 12
7597 2020 2 12
5698 2020 2 12
7190 2020 2 13
8746 2020 2 13
8518 2020 2 13
8445 2020 2 13
8552 2020 2 13
6562 2020 2 13
8632 2020 2 13
8713 2020 2 13
8853 2020 2 13
8706 2020 2 13
6245 2020 9 1
5799 2020 9 1
6160 2020 9 1
4969 2020 9 1
6211 2020 9 1
4962 2020 9 1
5305 2020 9 1
4988 2020 9 1
6178 2020 9 1
4573 2020 9 1
7642 2020 9 10
7533 2020 9 10
7596 2020 9 10
7546 2020 9 10
7559 2020 9 10
7499 2020 9 10
7524 2020 9 10
7423 2020 9 10
7513 2020 9 10
7391 2020 9 10
9393 2020 9 16
9516 2020 9 16
9685 2020 9 16
9482 2020 9 16
9490 2020 9 16
9131 2020 9 16
9229 2020 9 16
9548 2020 9 16
9300 2020 9 16
9335 2020 9 16
8794 2020 9 21
7940 2020 9 21
8998 2020 9 21
9034 2020 9 21
6450 2020 1 28
6376 2020 1 28
6594 2020 1 28
6465 2020 1 28
6488 2020 1 28
6397 2020 1 28
